Name,NACA 0018
Chord(mm),2670
Radius(mm),0
Thickness(%),50
Origin(%),50
X(mm),Y(mm)
1335,2.52315
1201.5,16.1535
1068,28.9962
801,52.53225
534,73.3716
267,91.38075
0,106.01235
-267,116.21175
-534,120.19005
-667.5,118.9752
-801,114.8901
-934.5,107.0403
-1068,93.7704
-1134.75,84.105
-1201.5,71.1822
-1268.25,52.3587
-1301.625,37.92735
-1335,0
-1301.625,-37.92735
-1268.25,-52.3587
-1201.5,-71.1822
-1134.75,-84.105
-1068,-93.7704
-934.5,-107.0403
-801,-114.8901
-667.5,-118.9752
-534,-120.19005
-267,-116.21175
0,-106.01235
267,-91.38075
534,-73.3716
801,-52.53225
1068,-28.9962
1201.5,-16.1535
1335,-2.52315
